fecha,zona,vel_km_h,vel_m_s,vel_mph,vel_nudos,racha_max_km_h,racha_max_m_s,racha_max_mph,racha_max_nudos,hora_racha,fecha_actualizacion
2015-01-17,almeria,3.96,1.1,8.85827,7.69763,27,7.5,60.3973,52.4838,12:50:00,"2022-01-21 17:44:31"
2015-01-17,zaragoza,10.08,2.8,22.5483,19.594,45,12.5,100.662,87.4731,13:40:00,"2022-01-21 17:44:31"
2015-01-18,acoruna,6.12,1.7,13.6901,11.8963,56.88,15.8,127.237,110.566,22:50:00,"2022-01-21 17:41:30"
2015-01-18,albacete,5.04,1.4,11.2742,9.79698,14.04,3.9,31.4066,27.2916,00:20:00,"2022-01-21 17:41:30"
2015-01-18,almeria,7.92,2.2,17.7165,15.3953,28.08,7.8,62.8132,54.5832,10:50:00,"2022-01-21 17:44:31"
2015-01-18,leon,20.88,5.8,46.7072,40.5875,86.04,23.9,192.466,167.249,08:20:00,"2022-01-21 17:44:31"
2015-01-18,zaragoza,2.88,0.8,6.44238,5.59828,7.92,2.2,17.7165,15.3953,15:40:00,"2022-01-21 17:44:31"
2015-01-19,acoruna,2.88,0.8,6.44238,5.59828,29.88,8.3,66.8397,58.0821,11:30:00,"2022-01-21 17:41:30"
2015-01-19,albacete,11.16,3.1,24.9642,21.6933,47.16,13.1,105.494,91.6718,20:20:00,"2022-01-21 17:41:30"
2015-01-19,almeria,9,2.5,20.1324,17.4946,30.96,8.6,69.2555,60.1815,22:10:00,"2022-01-21 17:44:31"
2015-01-19,zaragoza,10.08,2.8,22.5483,19.594,39.96,11.1,89.388,77.6761,17:30:00,"2022-01-21 17:44:31"
2015-01-20,acoruna,6.12,1.7,13.6901,11.8963,36,10,80.5297,69.9785,02:30:00,"2022-01-21 17:41:30"
2015-01-20,albacete,11.16,3.1,24.9642,21.6933,39.96,11.1,89.388,77.6761,04:10:00,"2022-01-21 17:41:30"
2015-01-20,almeria,6.12,1.7,13.6901,11.8963,24.12,6.7,53.9549,46.8856,04:50:00,"2022-01-21 17:44:31"
2015-01-20,zaragoza,5.04,1.4,11.2742,9.79698,23.04,6.4,51.539,44.7862,16:40:00,"2022-01-21 17:44:31"
2015-01-21,acoruna,2.16,0.6,4.83178,4.19871,30.96,8.6,69.2555,60.1815,12:30:00,"2022-01-21 17:41:30"
2015-01-21,albacete,14.04,3.9,31.4066,27.2916,38.88,10.8,86.9721,75.5767,21:20:00,"2022-01-21 17:41:30"
2015-01-21,almeria,7.92,2.2,17.7165,15.3953,30.96,8.6,69.2555,60.1815,16:10:00,"2022-01-21 17:44:31"
2015-01-21,zaragoza,7.92,2.2,17.7165,15.3953,51.12,14.2,114.352,99.3694,12:10:00,"2022-01-21 17:44:31"
2015-01-22,acoruna,1.08,0.3,2.41589,2.09935,20.88,5.8,46.7072,40.5875,01:20:00,"2022-01-21 17:41:30"
2015-01-22,albacete,21.96,6.1,49.1231,42.6869,65.16,18.1,145.759,126.661,15:10:00,"2022-01-21 17:41:30"
2015-01-22,almeria,10.08,2.8,22.5483,19.594,33.12,9.2,74.0873,64.3802,14:10:00,"2022-01-21 17:44:31"
2015-01-22,leon,0,0,0,0,83.16,23.1,186.024,161.65,07:03:00,"2022-01-21 17:44:31"
2015-01-22,zaragoza,11.16,3.1,24.9642,21.6933,43.92,12.2,98.2462,85.3737,22:30:00,"2022-01-21 17:44:31"
2015-01-23,acoruna,5.04,1.4,11.2742,9.79698,16.92,4.7,37.849,32.8899,10:40:00,"2022-01-21 17:41:30"
2015-01-23,albacete,27,7.5,60.3973,52.4838,68.04,18.9,152.201,132.259,08:00:00,"2022-01-21 17:41:30"
2015-01-23,almeria,6.84,1.9,15.3006,13.2959,29.88,8.3,66.8397,58.0821,11:20:00,"2022-01-21 17:44:31"
2015-01-23,leon,15.84,4.4,35.4331,30.7905,47.16,13.1,105.494,91.6718,03:00:00,"2022-01-21 17:44:31"
2015-01-23,zaragoza,12.96,3.6,28.9907,25.1922,46.08,12.8,103.078,89.5724,15:00:00,"2022-01-21 17:44:31"
2015-01-24,acoruna,6.12,1.7,13.6901,11.8963,36,10,80.5297,69.9785,23:00:00,"2022-01-21 17:41:30"
2015-01-24,albacete,15.12,4.2,33.8225,29.391,52.92,14.7,118.379,102.868,01:00:00,"2022-01-21 17:41:30"
2015-01-24,almeria,6.12,1.7,13.6901,11.8963,25.92,7.2,57.9814,50.3845,11:20:00,"2022-01-21 17:44:31"
2015-01-24,leon,20.16,5.6,45.0966,39.1879,69.84,19.4,156.228,135.758,19:40:00,"2022-01-21 17:44:31"
2015-01-25,acoruna,12.96,3.6,28.9907,25.1922,38.16,10.6,85.3615,74.1772,12:30:00,"2022-01-21 17:41:30"
2015-01-25,albacete,23.04,6.4,51.539,44.7862,64.08,17.8,143.343,124.562,03:10:00,"2022-01-21 17:41:30"
2015-01-25,almeria,11.16,3.1,24.9642,21.6933,34.92,9.7,78.1138,67.8791,03:20:00,"2022-01-21 17:44:31"
2015-01-25,leon,12.96,3.6,28.9907,25.1922,45,12.5,100.662,87.4731,00:10:00,"2022-01-21 17:44:31"
2015-01-26,acoruna,11.16,3.1,24.9642,21.6933,33.12,9.2,74.0873,64.3802,NULL,"2022-01-21 17:41:30"
2015-01-26,albacete,10.08,2.8,22.5483,19.594,42.84,11.9,95.8304,83.2744,11:00:00,"2022-01-21 17:41:30"
2015-01-26,almeria,6.84,1.9,15.3006,13.2959,30.96,8.6,69.2555,60.1815,03:00:00,"2022-01-21 17:44:31"
2015-01-26,leon,14.04,3.9,31.4066,27.2916,36,10,80.5297,69.9785,16:00:00,"2022-01-21 17:44:31"
2015-01-27,acoruna,10.08,2.8,22.5483,19.594,28.08,7.8,62.8132,54.5832,13:40:00,"2022-01-21 17:41:30"
2015-01-27,albacete,19.08,5.3,42.6807,37.0886,54,15,120.795,104.968,21:40:00,"2022-01-21 17:41:30"
2015-01-27,almeria,11.16,3.1,24.9642,21.6933,32.04,8.9,71.6714,62.2808,19:40:00,"2022-01-21 17:44:31"
